Season,Category,Circuit,Rider,Country,Constructor
2006,250cc,Istanbul Park Circuit,Hiroshi Aoyama,JAPAN,KTM
2006,MotoGP,Istanbul Park Circuit,Marco Melandri,ITALY,Honda
2006,125cc,Losail International Circuit,Alvaro Bautista,SPAIN,Aprilia
2006,250cc,Losail International Circuit,Jorge Lorenzo,SPAIN,Aprilia
2006,MotoGP,Losail International Circuit,Valentino Rossi,ITALY,Yamaha
2006,125cc,Circuito de Jerez - Angel Nieto,Alvaro Bautista,SPAIN,Aprilia
2006,250cc,Circuito de Jerez - Angel Nieto,Jorge Lorenzo,SPAIN,Aprilia
2006,MotoGP,Circuito de Jerez - Angel Nieto,Loris Capirossi,ITALY,Ducati
2005,125cc,Circuit Ricardo Tormo,Mika Kallio,FINLAND,KTM
2005,250cc,Circuit Ricardo Tormo,Dani Pedrosa,SPAIN,Honda
2005,MotoGP,Circuit Ricardo Tormo,Marco Melandri,ITALY,Honda
2005,125cc,Istanbul Park Circuit,Mike Di Meglio,FRANCE,Honda
2005,250cc,Istanbul Park Circuit,Casey Stoner,AUSTRALIA,Aprilia
2005,MotoGP,Istanbul Park Circuit,Marco Melandri,ITALY,Honda
2005,125cc,Phillip Island,Thomas Luthi,SWITZERLAND,Honda
2005,250cc,Phillip Island,Dani Pedrosa,SPAIN,Honda
2005,MotoGP,Phillip Island,Valentino Rossi,ITALY,Yamaha
2005,125cc,Losail International Circuit,Gabor Talmacsi,HUNGARY,KTM
2005,250cc,Losail International Circuit,Casey Stoner,AUSTRALIA,Aprilia
2005,MotoGP,Losail International Circuit,Valentino Rossi,ITALY,Yamaha
2005,125cc,Sepang International Circuit,Thomas Luthi,SWITZERLAND,Honda
2005,250cc,Sepang International Circuit,Casey Stoner,AUSTRALIA,Aprilia
2005,MotoGP,Sepang International Circuit,Loris Capirossi,ITALY,Ducati
2005,125cc,Twin Ring Motegi,Mika Kallio,FINLAND,KTM
2005,250cc,Twin Ring Motegi,Hiroshi Aoyama,JAPAN,Honda
2005,MotoGP,Twin Ring Motegi,Loris Capirossi,ITALY,Ducati
2005,125cc,Automotodrom Brno,Thomas Luthi,SWITZERLAND,Honda
2005,250cc,Automotodrom Brno,Dani Pedrosa,SPAIN,Honda
2005,MotoGP,Automotodrom Brno,Valentino Rossi,ITALY,Yamaha
2005,125cc,Sachsenring,Mika Kallio,FINLAND,KTM
2005,250cc,Sachsenring,Dani Pedrosa,SPAIN,Honda
2005,MotoGP,Sachsenring,Valentino Rossi,ITALY,Yamaha
2005,125cc,Donington Park,Julian Simon,SPAIN,KTM
2005,250cc,Donington Park,Randy De Puniet,FRANCE,Aprilia
2005,MotoGP,Donington Park,Valentino Rossi,ITALY,Yamaha
2005,MotoGP,Mazda Raceway,Nicky Hayden,UNITED STATES,Honda
2005,125cc,TT Circuit Assen,Gabor Talmacsi,HUNGARY,KTM
2005,250cc,TT Circuit Assen,Sebastian Porto,ARGENTINA,Aprilia
2005,MotoGP,TT Circuit Assen,Valentino Rossi,ITALY,Yamaha
2005,125cc,Circuit de Barcelona-Catalunya,Mattia Pasini,ITALY,Aprilia
2005,250cc,Circuit de Barcelona-Catalunya,Dani Pedrosa,SPAIN,Honda
2005,MotoGP,Circuit de Barcelona-Catalunya,Valentino Rossi,ITALY,Yamaha
2005,125cc,Autodromo Internazionale del Mugello,Gabor Talmacsi,HUNGARY,KTM
2005,250cc,Autodromo Internazionale del Mugello,Dani Pedrosa,SPAIN,Honda
2005,MotoGP,Autodromo Internazionale del Mugello,Valentino Rossi,ITALY,Yamaha
2005,125cc,Le Mans,Thomas Luthi,SWITZERLAND,Honda
2005,250cc,Le Mans,Dani Pedrosa,SPAIN,Honda
2005,MotoGP,Le Mans,Valentino Rossi,ITALY,Yamaha
2005,125cc,Shanghai Circuit,Mattia Pasini,ITALY,Aprilia
2005,250cc,Shanghai Circuit,Casey Stoner,AUSTRALIA,Aprilia
2005,MotoGP,Shanghai Circuit,Valentino Rossi,ITALY,Yamaha
2005,125cc,Estoril Circuit,Mika Kallio,FINLAND,KTM
2005,250cc,Estoril Circuit,Casey Stoner,AUSTRALIA,Aprilia
2005,MotoGP,Estoril Circuit,Alex Barros,BRAZIL,Honda
2005,125cc,Circuito de Jerez - Angel Nieto,Marco Simoncelli,ITALY,Aprilia
2005,250cc,Circuito de Jerez - Angel Nieto,Dani Pedrosa,SPAIN,Honda
2005,MotoGP,Circuito de Jerez - Angel Nieto,Valentino Rossi,ITALY,Yamaha
2004,125cc,Circuit Ricardo Tormo,Hector Barbera,SPAIN,Aprilia
2004,250cc,Circuit Ricardo Tormo,Dani Pedrosa,SPAIN,Honda
2004,MotoGP,Circuit Ricardo Tormo,Valentino Rossi,ITALY,Yamaha
2004,125cc,Phillip Island,Andrea Dovizioso,ITALY,Honda
2004,250cc,Phillip Island,Sebastian Porto,ARGENTINA,Aprilia
2004,MotoGP,Phillip Island,Valentino Rossi,ITALY,Yamaha
2004,125cc,Sepang International Circuit,Casey Stoner,AUSTRALIA,KTM
2004,250cc,Sepang International Circuit,Dani Pedrosa,SPAIN,Honda
2004,MotoGP,Sepang International Circuit,Valentino Rossi,ITALY,Yamaha
2004,125cc,Losail International Circuit,Jorge Lorenzo,SPAIN,Derbi
2004,250cc,Losail International Circuit,Sebastian Porto,ARGENTINA,Aprilia
2004,MotoGP,Losail International Circuit,Sete Gibernau,SPAIN,Honda
2004,125cc,Twin Ring Motegi,Andrea Dovizioso,ITALY,Honda
2004,250cc,Twin Ring Motegi,Dani Pedrosa,SPAIN,Honda
2004,MotoGP,Twin Ring Motegi,Makoto Tamada,JAPAN,Honda
2004,125cc,Estoril Circuit,Hector Barbera,SPAIN,Aprilia
2004,250cc,Estoril Circuit,Toni Elias,SPAIN,Honda
2004,MotoGP,Estoril Circuit,Valentino Rossi,ITALY,Yamaha
2004,125cc,Automotodrom Brno,Jorge Lorenzo,SPAIN,Derbi
2004,250cc,Automotodrom Brno,Sebastian Porto,ARGENTINA,Aprilia
2004,MotoGP,Automotodrom Brno,Sete Gibernau,SPAIN,Honda
2004,125cc,Donington Park,Andrea Dovizioso,ITALY,Honda
2004,250cc,Donington Park,Dani Pedrosa,SPAIN,Honda
2004,MotoGP,Donington Park,Valentino Rossi,ITALY,Yamaha
2004,125cc,Sachsenring,Roberto Locatelli,ITALY,Aprilia
2004,250cc,Sachsenring,Dani Pedrosa,SPAIN,Honda
2004,MotoGP,Sachsenring,Max Biaggi,ITALY,Honda
2004,125cc,Nelson Piquet,Hector Barbera,SPAIN,Aprilia
2004,250cc,Nelson Piquet,Manuel Poggiali,SAN MARINO,Aprilia
2004,MotoGP,Nelson Piquet,Makoto Tamada,JAPAN,Honda
2004,125cc,TT Circuit Assen,Jorge Lorenzo,SPAIN,Derbi
2004,250cc,TT Circuit Assen,Sebastian Porto,ARGENTINA,Aprilia
2004,MotoGP,TT Circuit Assen,Valentino Rossi,ITALY,Yamaha
2004,125cc,Circuit de Barcelona-Catalunya,Hector Barbera,SPAIN,Aprilia
2004,250cc,Circuit de Barcelona-Catalunya,Randy De Puniet,FRANCE,Aprilia
2004,MotoGP,Circuit de Barcelona-Catalunya,Valentino Rossi,ITALY,Yamaha
2004,125cc,Autodromo Internazionale del Mugello,Roberto Locatelli,ITALY,Aprilia
2004,250cc,Autodromo Internazionale del Mugello,Sebastian Porto,ARGENTINA,Aprilia
2004,MotoGP,Autodromo Internazionale del Mugello,Valentino Rossi,ITALY,Yamaha
2004,125cc,Le Mans,Andrea Dovizioso,ITALY,Honda
2004,250cc,Le Mans,Dani Pedrosa,SPAIN,Honda
2004,MotoGP,Le Mans,Sete Gibernau,SPAIN,Honda
2004,125cc,Circuito de Jerez - Angel Nieto,Marco Simoncelli,ITALY,Aprilia
2004,250cc,Circuito de Jerez - Angel Nieto,Roberto Rolfo,ITALY,Honda
2004,MotoGP,Circuito de Jerez - Angel Nieto,Sete Gibernau,SPAIN,Honda
2004,125cc,Phakisa Freeway,Andrea Dovizioso,ITALY,Honda
2004,250cc,Phakisa Freeway,Dani Pedrosa,SPAIN,Honda
2004,MotoGP,Phakisa Freeway,Valentino Rossi,ITALY,Yamaha
2003,125cc,Circuit Ricardo Tormo,Casey Stoner,AUSTRALIA,Aprilia
2003,250cc,Circuit Ricardo Tormo,Randy De Puniet,FRANCE,Aprilia
2003,MotoGP,Circuit Ricardo Tormo,Valentino Rossi,ITALY,Honda
2003,125cc,Phillip Island,Andrea Ballerini,ITALY,Honda
2003,250cc,Phillip Island,Roberto Rolfo,ITALY,Honda
2003,MotoGP,Phillip Island,Valentino Rossi,ITALY,Honda
2003,125cc,Sepang International Circuit,Dani Pedrosa,SPAIN,Honda
2003,250cc,Sepang International Circuit,Toni Elias,SPAIN,Aprilia
2003,MotoGP,Sepang International Circuit,Valentino Rossi,ITALY,Honda
2003,125cc,Twin Ring Motegi,Hector Barbera,SPAIN,Aprilia
2003,250cc,Twin Ring Motegi,Toni Elias,SPAIN,Aprilia
2003,MotoGP,Twin Ring Motegi,Max Biaggi,ITALY,Honda
2003,125cc,Nelson Piquet,Jorge Lorenzo,SPAIN,Derbi
2003,250cc,Nelson Piquet,Manuel Poggiali,SAN MARINO,Aprilia
2003,MotoGP,Nelson Piquet,Valentino Rossi,ITALY,Honda
2003,125cc,Estoril Circuit,Pablo Nieto,SPAIN,Aprilia
2003,250cc,Estoril Circuit,Toni Elias,SPAIN,Aprilia
2003,MotoGP,Estoril Circuit,Valentino Rossi,ITALY,Honda
2003,125cc,Automotodrom Brno,Dani Pedrosa,SPAIN,Honda
2003,250cc,Automotodrom Brno,Randy De Puniet,FRANCE,Aprilia
2003,MotoGP,Automotodrom Brno,Valentino Rossi,ITALY,Honda
2003,125cc,Sachsenring,Stefano Perugini,ITALY,Aprilia
2003,250cc,Sachsenring,Roberto Rolfo,ITALY,Honda
2003,MotoGP,Sachsenring,Sete Gibernau,SPAIN,Honda
2003,125cc,Donington Park,Hector Barbera,SPAIN,Aprilia
2003,250cc,Donington Park,Fonsi Nieto,SPAIN,Aprilia
2003,MotoGP,Donington Park,Max Biaggi,ITALY,Honda
2003,125cc,TT Circuit Assen,Steve Jenkner,GERMANY,Aprilia
2003,250cc,TT Circuit Assen,Anthony West,AUSTRALIA,Aprilia
2003,MotoGP,TT Circuit Assen,Sete Gibernau,SPAIN,Honda
2003,125cc,Circuit de Barcelona-Catalunya,Dani Pedrosa,SPAIN,Honda
2003,250cc,Circuit de Barcelona-Catalunya,Randy De Puniet,FRANCE,Aprilia
2003,MotoGP,Circuit de Barcelona-Catalunya,Loris Capirossi,ITALY,Ducati
2003,125cc,Autodromo Internazionale del Mugello,Lucio Cecchinello,ITALY,Aprilia
2003,250cc,Autodromo Internazionale del Mugello,Manuel Poggiali,SAN MARINO,Aprilia
2003,MotoGP,Autodromo Internazionale del Mugello,Valentino Rossi,ITALY,Honda
2003,125cc,Le Mans,Dani Pedrosa,SPAIN,Honda
2003,250cc,Le Mans,Toni Elias,SPAIN,Aprilia
2003,MotoGP,Le Mans,Sete Gibernau,SPAIN,Honda
2003,125cc,Circuito de Jerez - Angel Nieto,Lucio Cecchinello,ITALY,Aprilia
2003,250cc,Circuito de Jerez - Angel Nieto,Toni Elias,SPAIN,Aprilia
2003,MotoGP,Circuito de Jerez - Angel Nieto,Valentino Rossi,ITALY,Honda
2003,125cc,Phakisa Freeway,Dani Pedrosa,SPAIN,Honda
2003,250cc,Phakisa Freeway,Manuel Poggiali,SAN MARINO,Aprilia
2003,MotoGP,Phakisa Freeway,Sete Gibernau,SPAIN,Honda
2003,125cc,Suzuka,Stefano Perugini,ITALY,Aprilia
2003,250cc,Suzuka,Manuel Poggiali,SAN MARINO,Aprilia
2003,MotoGP,Suzuka,Valentino Rossi,ITALY,Honda
2002,125cc,Circuit Ricardo Tormo,Dani Pedrosa,SPAIN,Honda
2002,250cc,Circuit Ricardo Tormo,Marco Melandri,ITALY,Aprilia
2002,MotoGP,Circuit Ricardo Tormo,Alex Barros,BRAZIL,Honda
2002,125cc,Phillip Island,Manuel Poggiali,SAN MARINO,Gilera
2002,250cc,Phillip Island,Marco Melandri,ITALY,Aprilia
2002,MotoGP,Phillip Island,Valentino Rossi,ITALY,Honda
2002,125cc,Sepang International Circuit,Arnaud Vincent,FRANCE,Aprilia
2002,250cc,Sepang International Circuit,Fonsi Nieto,SPAIN,Aprilia
2002,MotoGP,Sepang International Circuit,Max Biaggi,ITALY,Yamaha
2002,125cc,Twin Ring Motegi,Dani Pedrosa,SPAIN,Honda
2002,250cc,Twin Ring Motegi,Toni Elias,SPAIN,Aprilia
2002,MotoGP,Twin Ring Motegi,Alex Barros,BRAZIL,Honda
2002,125cc,Nelson Piquet,Masao Azuma,JAPAN,Honda
2002,250cc,Nelson Piquet,Sebastian Porto,ARGENTINA,Yamaha
2002,MotoGP,Nelson Piquet,Valentino Rossi,ITALY,Honda
2002,125cc,Estoril Circuit,Arnaud Vincent,FRANCE,Aprilia
2002,250cc,Estoril Circuit,Fonsi Nieto,SPAIN,Aprilia
2002,MotoGP,Estoril Circuit,Valentino Rossi,ITALY,Honda
2002,125cc,Automotodrom Brno,Lucio Cecchinello,ITALY,Aprilia
2002,250cc,Automotodrom Brno,Marco Melandri,ITALY,Aprilia
2002,MotoGP,Automotodrom Brno,Max Biaggi,ITALY,Yamaha
2002,125cc,Sachsenring,Arnaud Vincent,FRANCE,Aprilia
2002,250cc,Sachsenring,Marco Melandri,ITALY,Aprilia
2002,MotoGP,Sachsenring,Valentino Rossi,ITALY,Honda
2002,125cc,Donington Park,Arnaud Vincent,FRANCE,Aprilia
2002,250cc,Donington Park,Marco Melandri,ITALY,Aprilia
2002,MotoGP,Donington Park,Valentino Rossi,ITALY,Honda
2002,125cc,TT Circuit Assen,Dani Pedrosa,SPAIN,Honda
2002,250cc,TT Circuit Assen,Marco Melandri,ITALY,Aprilia
2002,MotoGP,TT Circuit Assen,Valentino Rossi,ITALY,Honda
2002,125cc,Circuit de Barcelona-Catalunya,Manuel Poggiali,SAN MARINO,Gilera
2002,250cc,Circuit de Barcelona-Catalunya,Marco Melandri,ITALY,Aprilia
2002,MotoGP,Circuit de Barcelona-Catalunya,Valentino Rossi,ITALY,Honda
2002,125cc,Autodromo Internazionale del Mugello,Manuel Poggiali,SAN MARINO,Gilera
2002,250cc,Autodromo Internazionale del Mugello,Marco Melandri,ITALY,Aprilia
2002,MotoGP,Autodromo Internazionale del Mugello,Valentino Rossi,ITALY,Honda
2002,125cc,Le Mans,Lucio Cecchinello,ITALY,Aprilia
2002,250cc,Le Mans,Fonsi Nieto,SPAIN,Aprilia
2002,MotoGP,Le Mans,Valentino Rossi,ITALY,Honda
2002,125cc,Circuito de Jerez - Angel Nieto,Lucio Cecchinello,ITALY,Aprilia
2002,250cc,Circuito de Jerez - Angel Nieto,Fonsi Nieto,SPAIN,Aprilia
2002,MotoGP,Circuito de Jerez - Angel Nieto,Valentino Rossi,ITALY,Honda
2002,125cc,Phakisa Freeway,Manuel Poggiali,SAN MARINO,Gilera
2002,250cc,Phakisa Freeway,Marco Melandri,ITALY,Aprilia
2002,MotoGP,Phakisa Freeway,Tohru Ukawa,JAPAN,Honda
2002,125cc,Suzuka,Arnaud Vincent,FRANCE,Aprilia
2002,250cc,Suzuka,Osamu Miyazaki,JAPAN,Yamaha
2002,MotoGP,Suzuka,Valentino Rossi,ITALY,Honda
2001,125cc,Nelson Piquet,Youichi Ui,JAPAN,Derbi
2001,250cc,Nelson Piquet,Daijiro Kato,JAPAN,Honda
2001,500cc,Nelson Piquet,Valentino Rossi,ITALY,Honda
2001,125cc,Sepang International Circuit,Youichi Ui,JAPAN,Derbi
2001,250cc,Sepang International Circuit,Daijiro Kato,JAPAN,Honda
2001,500cc,Sepang International Circuit,Valentino Rossi,ITALY,Honda
2001,125cc,Phillip Island,Youichi Ui,JAPAN,Derbi
2001,250cc,Phillip Island,Daijiro Kato,JAPAN,Honda
2001,500cc,Phillip Island,Valentino Rossi,ITALY,Honda
2001,125cc,Twin Ring Motegi,Youichi Ui,JAPAN,Derbi
2001,250cc,Twin Ring Motegi,Tetsuya Harada,JAPAN,Aprilia
2001,500cc,Twin Ring Motegi,Valentino Rossi,ITALY,Honda
2001,125cc,Circuit Ricardo Tormo,Manuel Poggiali,SAN MARINO,Gilera
2001,250cc,Circuit Ricardo Tormo,Daijiro Kato,JAPAN,Honda
2001,500cc,Circuit Ricardo Tormo,Sete Gibernau,SPAIN,Suzuki
2001,125cc,Estoril Circuit,Manuel Poggiali,SAN MARINO,Gilera
2001,250cc,Estoril Circuit,Daijiro Kato,JAPAN,Honda
2001,500cc,Estoril Circuit,Valentino Rossi,ITALY,Honda
2001,125cc,Automotodrom Brno,Toni Elias,SPAIN,Honda
2001,250cc,Automotodrom Brno,Tetsuya Harada,JAPAN,Aprilia
2001,500cc,Automotodrom Brno,Valentino Rossi,ITALY,Honda
2001,125cc,Sachsenring,Simone Sanna,ITALY,Aprilia
2001,250cc,Sachsenring,Marco Melandri,ITALY,Aprilia
2001,500cc,Sachsenring,Max Biaggi,ITALY,Yamaha
2001,125cc,Donington Park,Youichi Ui,JAPAN,Derbi
2001,250cc,Donington Park,Daijiro Kato,JAPAN,Honda
2001,500cc,Donington Park,Valentino Rossi,ITALY,Honda
2001,125cc,TT Circuit Assen,Toni Elias,SPAIN,Honda
2001,250cc,TT Circuit Assen,Jeremy Mcwilliams,GREAT BRITAIN,Aprilia
2001,500cc,TT Circuit Assen,Max Biaggi,ITALY,Yamaha
2001,125cc,Circuit de Barcelona-Catalunya,Lucio Cecchinello,ITALY,Aprilia
2001,250cc,Circuit de Barcelona-Catalunya,Daijiro Kato,JAPAN,Honda
2001,500cc,Circuit de Barcelona-Catalunya,Valentino Rossi,ITALY,Honda
2001,125cc,Autodromo Internazionale del Mugello,Noboru Ueda,JAPAN,TSR
2001,250cc,Autodromo Internazionale del Mugello,Tetsuya Harada,JAPAN,Aprilia
2001,500cc,Autodromo Internazionale del Mugello,Alex Barros,BRAZIL,Honda
2001,125cc,Le Mans,Manuel Poggiali,SAN MARINO,Gilera
2001,250cc,Le Mans,Daijiro Kato,JAPAN,Honda
2001,500cc,Le Mans,Max Biaggi,ITALY,Yamaha
2001,125cc,Circuito de Jerez - Angel Nieto,Masao Azuma,JAPAN,Honda
2001,250cc,Circuito de Jerez - Angel Nieto,Daijiro Kato,JAPAN,Honda
2001,500cc,Circuito de Jerez - Angel Nieto,Valentino Rossi,ITALY,Honda
2001,125cc,Phakisa Freeway,Youichi Ui,JAPAN,Derbi
2001,250cc,Phakisa Freeway,Daijiro Kato,JAPAN,Honda
2001,500cc,Phakisa Freeway,Valentino Rossi,ITALY,Honda
2001,125cc,Suzuka,Masao Azuma,JAPAN,Honda
2001,250cc,Suzuka,Daijiro Kato,JAPAN,Honda
2001,500cc,Suzuka,Valentino Rossi,ITALY,Honda
2000,125cc,Phillip Island,Masao Azuma,JAPAN,Honda
2000,250cc,Phillip Island,Olivier Jacque,FRANCE,Yamaha
2000,500cc,Phillip Island,Max Biaggi,ITALY,Yamaha
2000,125cc,Twin Ring Motegi,Roberto Locatelli,ITALY,Aprilia
2000,250cc,Twin Ring Motegi,Daijiro Kato,JAPAN,Honda
2000,500cc,Twin Ring Motegi,Kenny Roberts Jr,UNITED STATES,Suzuki
2000,125cc,Nelson Piquet,Simone Sanna,ITALY,Aprilia
2000,250cc,Nelson Piquet,Daijiro Kato,JAPAN,Honda
2000,500cc,Nelson Piquet,Valentino Rossi,ITALY,Honda
2000,125cc,Circuit Ricardo Tormo,Roberto Locatelli,ITALY,Aprilia
2000,250cc,Circuit Ricardo Tormo,Shinya Nakano,JAPAN,Yamaha
2000,500cc,Circuit Ricardo Tormo,Garry Mccoy,AUSTRALIA,Yamaha
2000,125cc,Estoril Circuit,Emilio Alzamora,SPAIN,Honda
2000,250cc,Estoril Circuit,Daijiro Kato,JAPAN,Honda
2000,500cc,Estoril Circuit,Garry Mccoy,AUSTRALIA,Yamaha
2000,125cc,Automotodrom Brno,Roberto Locatelli,ITALY,Aprilia
2000,250cc,Automotodrom Brno,Shinya Nakano,JAPAN,Yamaha
2000,500cc,Automotodrom Brno,Max Biaggi,ITALY,Yamaha
2000,125cc,Sachsenring,Youichi Ui,JAPAN,Derbi
2000,250cc,Sachsenring,Olivier Jacque,FRANCE,Yamaha
2000,500cc,Sachsenring,Alex Barros,BRAZIL,Honda
2000,125cc,Donington Park,Youichi Ui,JAPAN,Derbi
2000,250cc,Donington Park,Ralf Waldmann,GERMANY,Aprilia
2000,500cc,Donington Park,Valentino Rossi,ITALY,Honda
2000,125cc,TT Circuit Assen,Youichi Ui,JAPAN,Derbi
2000,250cc,TT Circuit Assen,Tohru Ukawa,JAPAN,Honda
2000,500cc,TT Circuit Assen,Alex Barros,BRAZIL,Honda
2000,125cc,Circuit de Barcelona-Catalunya,Simone Sanna,ITALY,Aprilia
2000,250cc,Circuit de Barcelona-Catalunya,Olivier Jacque,FRANCE,Yamaha
2000,500cc,Circuit de Barcelona-Catalunya,Kenny Roberts Jr,UNITED STATES,Suzuki
2000,125cc,Autodromo Internazionale del Mugello,Roberto Locatelli,ITALY,Aprilia
2000,250cc,Autodromo Internazionale del Mugello,Shinya Nakano,JAPAN,Yamaha
2000,500cc,Autodromo Internazionale del Mugello,Loris Capirossi,ITALY,Honda
2000,125cc,Le Mans,Youichi Ui,JAPAN,Derbi
2000,250cc,Le Mans,Tohru Ukawa,JAPAN,Honda
2000,500cc,Le Mans,Alex Criville,SPAIN,Honda
2000,125cc,Circuito de Jerez - Angel Nieto,Emilio Alzamora,SPAIN,Honda
2000,250cc,Circuito de Jerez - Angel Nieto,Ralf Waldmann,GERMANY,Aprilia
2000,500cc,Circuito de Jerez - Angel Nieto,Kenny Roberts Jr,UNITED STATES,Suzuki
2000,125cc,Suzuka,Youichi Ui,JAPAN,Derbi
2000,250cc,Suzuka,Daijiro Kato,JAPAN,Honda
2000,500cc,Suzuka,Norick Abe,JAPAN,Yamaha
2000,125cc,Sepang International Circuit,Roberto Locatelli,ITALY,Aprilia
2000,250cc,Sepang International Circuit,Shinya Nakano,JAPAN,Yamaha
2000,500cc,Sepang International Circuit,Kenny Roberts Jr,UNITED STATES,Suzuki
2000,125cc,Phakisa Freeway,Arnaud Vincent,FRANCE,Aprilia
2000,250cc,Phakisa Freeway,Shinya Nakano,JAPAN,Yamaha
2000,500cc,Phakisa Freeway,Garry Mccoy,AUSTRALIA,Yamaha
1999,125cc,Oscar A. Galvez,Marco Melandri,ITALY,Honda
1999,250cc,Oscar A. Galvez,Olivier Jacque,FRANCE,Yamaha
1999,500cc,Oscar A. Galvez,Kenny Roberts Jr,UNITED STATES,Suzuki
1999,125cc,Nelson Piquet,Noboru Ueda,JAPAN,Honda
1999,250cc,Nelson Piquet,Valentino Rossi,ITALY,Aprilia
1999,500cc,Nelson Piquet,Norick Abe,JAPAN,Yamaha
1999,125cc,Phakisa Freeway,Gianluigi Scalvini,ITALY,Aprilia
1999,250cc,Phakisa Freeway,Valentino Rossi,ITALY,Aprilia
1999,500cc,Phakisa Freeway,Max Biaggi,ITALY,Yamaha
1999,125cc,Phillip Island,Marco Melandri,ITALY,Honda
1999,250cc,Phillip Island,Valentino Rossi,ITALY,Aprilia
1999,500cc,Phillip Island,Tadayuki Okada,JAPAN,Honda
1999,125cc,Circuit Ricardo Tormo,Gianluigi Scalvini,ITALY,Aprilia
1999,250cc,Circuit Ricardo Tormo,Tohru Ukawa,JAPAN,Honda
1999,500cc,Circuit Ricardo Tormo,Regis Laconi,FRANCE,Yamaha
1999,125cc,Imola,Marco Melandri,ITALY,Honda
1999,250cc,Imola,Loris Capirossi,ITALY,Honda
1999,500cc,Imola,Alex Criville,SPAIN,Honda
1999,125cc,Automotodrom Brno,Marco Melandri,ITALY,Honda
1999,250cc,Automotodrom Brno,Valentino Rossi,ITALY,Aprilia
1999,500cc,Automotodrom Brno,Tadayuki Okada,JAPAN,Honda
1999,125cc,Sachsenring,Marco Melandri,ITALY,Honda
1999,250cc,Sachsenring,Valentino Rossi,ITALY,Aprilia
1999,500cc,Sachsenring,Kenny Roberts Jr,UNITED STATES,Suzuki
1999,125cc,Donington Park,Masao Azuma,JAPAN,Honda
1999,250cc,Donington Park,Valentino Rossi,ITALY,Aprilia
1999,500cc,Donington Park,Alex Criville,SPAIN,Honda
1999,125cc,TT Circuit Assen,Masao Azuma,JAPAN,Honda
1999,250cc,TT Circuit Assen,Loris Capirossi,ITALY,Honda
1999,500cc,TT Circuit Assen,Tadayuki Okada,JAPAN,Honda
1999,125cc,Circuit de Barcelona-Catalunya,Arnaud Vincent,FRANCE,Aprilia
1999,250cc,Circuit de Barcelona-Catalunya,Valentino Rossi,ITALY,Aprilia
1999,500cc,Circuit de Barcelona-Catalunya,Alex Criville,SPAIN,Honda
1999,125cc,Autodromo Internazionale del Mugello,Roberto Locatelli,ITALY,Aprilia
1999,250cc,Autodromo Internazionale del Mugello,Valentino Rossi,ITALY,Aprilia
1999,500cc,Autodromo Internazionale del Mugello,Alex Criville,SPAIN,Honda
1999,125cc,Paul Ricard,Roberto Locatelli,ITALY,Aprilia
1999,250cc,Paul Ricard,Tohru Ukawa,JAPAN,Honda
1999,500cc,Paul Ricard,Alex Criville,SPAIN,Honda
1999,125cc,Circuito de Jerez - Angel Nieto,Masao Azuma,JAPAN,Honda
1999,250cc,Circuito de Jerez - Angel Nieto,Valentino Rossi,ITALY,Aprilia
1999,500cc,Circuito de Jerez - Angel Nieto,Alex Criville,SPAIN,Honda
1999,125cc,Twin Ring Motegi,Masao Azuma,JAPAN,Honda
1999,250cc,Twin Ring Motegi,Shinya Nakano,JAPAN,Yamaha
1999,500cc,Twin Ring Motegi,Kenny Roberts Jr,UNITED STATES,Suzuki
1999,125cc,Sepang International Circuit,Masao Azuma,JAPAN,Honda
1999,250cc,Sepang International Circuit,Loris Capirossi,ITALY,Honda
1999,500cc,Sepang International Circuit,Kenny Roberts Jr,UNITED STATES,Suzuki
1998,125cc,Oscar A. Galvez,Tomomi Manako,JAPAN,Honda
1998,250cc,Oscar A. Galvez,Valentino Rossi,ITALY,Aprilia
1998,500cc,Oscar A. Galvez,Mick Doohan,AUSTRALIA,Honda
1998,125cc,Phillip Island,Masao Azuma,JAPAN,Honda
1998,250cc,Phillip Island,Valentino Rossi,ITALY,Aprilia
1998,500cc,Phillip Island,Mick Doohan,AUSTRALIA,Honda
1998,125cc,Circuit de Barcelona-Catalunya,Tomomi Manako,JAPAN,Honda
1998,250cc,Circuit de Barcelona-Catalunya,Valentino Rossi,ITALY,Aprilia
1998,500cc,Circuit de Barcelona-Catalunya,Mick Doohan,AUSTRALIA,Honda
1998,125cc,Imola,Tomomi Manako,JAPAN,Honda
1998,250cc,Imola,Valentino Rossi,ITALY,Aprilia
1998,500cc,Imola,Mick Doohan,AUSTRALIA,Honda
1998,125cc,Automotodrom Brno,Marco Melandri,ITALY,Honda
1998,250cc,Automotodrom Brno,Tetsuya Harada,JAPAN,Aprilia
1998,500cc,Automotodrom Brno,Max Biaggi,ITALY,Honda
1998,125cc,Sachsenring,Tomomi Manako,JAPAN,Honda
1998,250cc,Sachsenring,Tetsuya Harada,JAPAN,Aprilia
1998,500cc,Sachsenring,Mick Doohan,AUSTRALIA,Honda
1998,125cc,Donington Park,Kazuto Sakata,JAPAN,Aprilia
1998,250cc,Donington Park,Loris Capirossi,ITALY,Aprilia
1998,500cc,Donington Park,Simon Crafar,NEW ZEALAND,Yamaha
1998,125cc,TT Circuit Assen,Marco Melandri,ITALY,Honda
1998,250cc,TT Circuit Assen,Valentino Rossi,ITALY,Aprilia
1998,500cc,TT Circuit Assen,Mick Doohan,AUSTRALIA,Honda
